Date,Time,DateTime (ISO),Terror Zone
2025-09-27,22:00,2025-09-27T22:00:00+00:00,"Arreat Plateau, Pit of Acheron"
2025-09-27,23:00,2025-09-27T23:00:00+00:00,"Bloody Foothills, Frigid Highlands, Abaddon"
2025-09-28,00:00,2025-09-28T00:00:00+00:00,"Spider Forest, Spider Cavern"
2025-09-28,01:00,2025-09-28T01:00:00+00:00,"Lost City, Valley of Snakes, Claw Viper Temple"
2025-09-28,02:00,2025-09-28T02:00:00+00:00,"Flayer Jungle, Flayer Dungeon"
2025-09-28,03:00,2025-09-28T03:00:00+00:00,"Outer Steppes, Plains of Despair"
2025-09-28,04:00,2025-09-28T04:00:00+00:00,Ancient Tunnels
2025-09-28,05:00,2025-09-28T05:00:00+00:00,"Kurast Bazaar, Ruined Temple, Disused Fane"
2025-09-28,06:00,2025-09-28T06:00:00+00:00,"Crystalline Passage, Frozen River"
2025-09-28,07:00,2025-09-28T07:00:00+00:00,Great Marsh
2025-09-28,08:00,2025-09-28T08:00:00+00:00,"Worldstone Keep, Throne of Destruction, Worldstone Chamber"
2025-09-28,09:00,2025-09-28T09:00:00+00:00,"Rocky Waste, Stony Tomb"
2025-09-28,10:00,2025-09-28T10:00:00+00:00,"Arreat Plateau, Pit of Acheron"
2025-09-28,11:00,2025-09-28T11:00:00+00:00,"Barracks, Jail"
2025-09-28,12:00,2025-09-28T12:00:00+00:00,"Burial Grounds, Crypt, Mausoleum"
2025-09-28,13:00,2025-09-28T13:00:00+00:00,The Secret Cow Level
2025-09-28,14:00,2025-09-28T14:00:00+00:00,"Rocky Waste, Stony Tomb"
2025-09-28,15:00,2025-09-28T15:00:00+00:00,"Tal Rasha's Tombs, Tal Rasha's Chamber"
2025-09-28,16:00,2025-09-28T16:00:00+00:00,"Dry Hills, Halls of the Dead"
2025-09-28,17:00,2025-09-28T17:00:00+00:00,Tristram
2025-09-28,18:00,2025-09-28T18:00:00+00:00,"Ancient's Way, Icy Cellar"
2025-09-28,19:00,2025-09-28T19:00:00+00:00,"Cathedral, Catacombs"
2025-09-28,20:00,2025-09-28T20:00:00+00:00,Durance of Hate
2025-09-28,21:00,2025-09-28T21:00:00+00:00,Lut Gholein Sewers
2025-09-28,22:00,2025-09-28T22:00:00+00:00,Travincal
2025-09-28,23:00,2025-09-28T23:00:00+00:00,"Flayer Jungle, Flayer Dungeon"
2025-09-29,00:00,2025-09-29T00:00:00+00:00,"Bloody Foothills, Frigid Highlands, Abaddon"
2025-09-29,01:00,2025-09-29T01:00:00+00:00,Stony Field
2025-09-29,02:00,2025-09-29T02:00:00+00:00,"Crystalline Passage, Frozen River"
2025-09-29,03:00,2025-09-29T03:00:00+00:00,"Nihlathak's Temple, Temple Halls"
2025-09-29,04:00,2025-09-29T04:00:00+00:00,"Arreat Plateau, Pit of Acheron"
2025-09-29,05:00,2025-09-29T05:00:00+00:00,Great Marsh
2025-09-29,06:00,2025-09-29T06:00:00+00:00,"Barracks, Jail"
2025-09-29,07:00,2025-09-29T07:00:00+00:00,"Blood Moor, Den of Evil"
2025-09-29,08:00,2025-09-29T08:00:00+00:00,Far Oasis
2025-09-29,09:00,2025-09-29T09:00:00+00:00,Tristram
2025-09-29,10:00,2025-09-29T10:00:00+00:00,"Glacial Trail, Drifter Cavern"
2025-09-29,11:00,2025-09-29T11:00:00+00:00,"Cathedral, Catacombs"
2025-09-29,12:00,2025-09-29T12:00:00+00:00,"Worldstone Keep, Throne of Destruction, Worldstone Chamber"
2025-09-29,13:00,2025-09-29T13:00:00+00:00,"Lost City, Valley of Snakes, Claw Viper Temple"
2025-09-29,14:00,2025-09-29T14:00:00+00:00,Ancient Tunnels
2025-09-29,15:00,2025-09-29T15:00:00+00:00,"Cold Plains, Cave"
2025-09-29,16:00,2025-09-29T16:00:00+00:00,Pit
2025-09-29,17:00,2025-09-29T17:00:00+00:00,"Black Marsh, The Hole"
2025-09-29,18:00,2025-09-29T18:00:00+00:00,Stony Field
2025-09-29,19:00,2025-09-29T19:00:00+00:00,Arcane Sanctuary
2025-09-29,20:00,2025-09-29T20:00:00+00:00,"Dark Wood, Underground Passage"
2025-09-29,21:00,2025-09-29T21:00:00+00:00,"City of the Damned, River of Flame"
2025-09-29,22:00,2025-09-29T22:00:00+00:00,The Secret Cow Level
2025-09-29,23:00,2025-09-29T23:00:00+00:00,"Outer Steppes, Plains of Despair"
2025-09-30,00:00,2025-09-30T00:00:00+00:00,"Rocky Waste, Stony Tomb"
2025-09-30,01:00,2025-09-30T01:00:00+00:00,"Black Marsh, The Hole"
2025-09-30,02:00,2025-09-30T02:00:00+00:00,"Dry Hills, Halls of the Dead"
2025-09-30,03:00,2025-09-30T03:00:00+00:00,"Spider Forest, Spider Cavern"
2025-09-30,04:00,2025-09-30T04:00:00+00:00,Chaos Sanctuary
2025-09-30,05:00,2025-09-30T05:00:00+00:00,Lut Gholein Sewers
2025-09-30,06:00,2025-09-30T06:00:00+00:00,"Ancient's Way, Icy Cellar"
2025-09-30,07:00,2025-09-30T07:00:00+00:00,"Kurast Bazaar, Ruined Temple, Disused Fane"
2025-09-30,08:00,2025-09-30T08:00:00+00:00,"Flayer Jungle, Flayer Dungeon"
2025-09-30,09:00,2025-09-30T09:00:00+00:00,"Blood Moor, Den of Evil"
2025-09-30,10:00,2025-09-30T10:00:00+00:00,Durance of Hate
2025-09-30,11:00,2025-09-30T11:00:00+00:00,"Tal Rasha's Tombs, Tal Rasha's Chamber"
2025-09-30,12:00,2025-09-30T12:00:00+00:00,"Barracks, Jail"
2025-09-30,13:00,2025-09-30T13:00:00+00:00,Lut Gholein Sewers
2025-09-30,14:00,2025-09-30T14:00:00+00:00,Forgotten Tower
2025-09-30,15:00,2025-09-30T15:00:00+00:00,"Arreat Plateau, Pit of Acheron"
2025-09-30,16:00,2025-09-30T16:00:00+00:00,"Nihlathak's Temple, Temple Halls"
2025-09-30,17:00,2025-09-30T17:00:00+00:00,Stony Field
2025-09-30,18:00,2025-09-30T18:00:00+00:00,Chaos Sanctuary
2025-09-30,19:00,2025-09-30T19:00:00+00:00,"Cold Plains, Cave"
2025-09-30,20:00,2025-09-30T20:00:00+00:00,"Burial Grounds, Crypt, Mausoleum"
2025-09-30,21:00,2025-09-30T21:00:00+00:00,"Glacial Trail, Drifter Cavern"
2025-09-30,22:00,2025-09-30T22:00:00+00:00,"Cathedral, Catacombs"
2025-09-30,23:00,2025-09-30T23:00:00+00:00,Tristram
2025-10-01,00:00,2025-10-01T00:00:00+00:00,"Black Marsh, The Hole"
2025-10-01,01:00,2025-10-01T01:00:00+00:00,"City of the Damned, River of Flame"
2025-10-01,02:00,2025-10-01T02:00:00+00:00,Chaos Sanctuary
2025-10-01,03:00,2025-10-01T03:00:00+00:00,Arcane Sanctuary
2025-10-01,04:00,2025-10-01T04:00:00+00:00,"Ancient's Way, Icy Cellar"
